order_id,quantity,item_name,choice_description,item_price,price_num,price_range
1,1,Chips and Fresh Tomato Salsa,Pending,$2.39 ,2.39,cheap
1,1,Izze,[Clementine],$3.39 ,3.39,cheap
1,1,Nantucket Nectar,[Apple],$3.39 ,3.39,cheap
1,1,Chips and Tomatillo-Green Chili Salsa,Pending,$2.39 ,2.39,cheap
2,2,Chicken Bowl,"[Tomatillo-Red Chili Salsa (Hot), [Black Beans, Rice, Cheese, Sour Cream]]",$16.98 ,16.98,pricey
3,1,Chicken Bowl,"[Fresh Tomato Salsa (Mild), [Rice, Cheese, Sour Cream, Guacamole, Lettuce]]",$10.98 ,10.98,pricey
3,1,Side of Chips,Pending,$1.69 ,1.69,cheap
4,1,Steak Burrito,"[Tomatillo Red Chili Salsa, [Fajita Vegetables, Black Beans, Pinto Beans, Cheese, Sour Cream, Guacamole, Lettuce]]",$11.75 ,11.75,pricey
4,1,Steak Soft Tacos,"[Tomatillo Green Chili Salsa, [Pinto Beans, Cheese, Sour Cream, Lettuce]]",$9.25 ,9.25,moderate
5,1,Steak Burrito,"[Fresh Tomato Salsa, [Rice, Black Beans, Pinto Beans, Cheese, Sour Cream, Lettuce]]",$9.25 ,9.25,moderate
5,1,Chips and Guacamole,Pending,$4.45 ,4.45,cheap
6,1,Chicken Crispy Tacos,"[Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream]]",$8.75 ,8.75,moderate
6,1,Chicken Soft Tacos,"[Roasted Chili Corn Salsa, [Rice, Black Beans, Cheese, Sour Cream]]",$8.75 ,8.75,moderate
7,1,Chicken Bowl,"[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Cheese, Sour Cream, Guacamole]]",$11.25 ,11.25,pricey
7,1,Chips and Guacamole,Pending,$4.45 ,4.45,cheap
8,1,Chips and Tomatillo-Green Chili Salsa,Pending,$2.39 ,2.39,cheap
8,1,Chicken Burrito,"[Tomatillo-Green Chili Salsa (Medium), [Pinto Beans, Cheese, Sour Cream]]",$8.49 ,8.49,moderate
9,1,Chicken Burrito,"[Fresh Tomato Salsa (Mild), [Black Beans, Rice, Cheese, Sour Cream, Lettuce]]",$8.49 ,8.49,moderate
9,2,Canned Soda,[Sprite],$2.18 ,2.18,cheap
10,1,Chicken Bowl,"[Tomatillo Red Chili Salsa, [Fajita Vegetables, Black Beans, Sour Cream, Cheese, Lettuce]]",$8.75 ,8.75,moderate
10,1,Chips and Guacamole,Pending,$4.45 ,4.45,cheap
11,1,Barbacoa Burrito,"[[Fresh Tomato Salsa (Mild), Tomatillo-Green Chili Salsa (Medium), Tomatillo-Red Chili Salsa (Hot)], [Rice, Cheese, Sour Cream, Lettuce]]",$8.99 ,8.99,moderate
11,1,Nantucket Nectar,[Pomegranate Cherry],$3.39 ,3.39,cheap
12,1,Chicken Burrito,"[[Tomatillo-Green Chili Salsa (Medium), Tomatillo-Red Chili Salsa (Hot)], [Pinto Beans, Rice, Cheese, Sour Cream, Guacamole, Lettuce]]",$10.98 ,10.98,pricey
12,1,Izze,[Grapefruit],$3.39 ,3.39,cheap
13,1,Chips and Fresh Tomato Salsa,Pending,$2.39 ,2.39,cheap
13,1,Chicken Bowl,"[Roasted Chili Corn Salsa (Medium), [Pinto Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce]]",$8.49 ,8.49,moderate
14,1,Carnitas Burrito,"[[Tomatillo-Green Chili Salsa (Medium), Roasted Chili Corn Salsa (Medium)], [Black Beans, Rice, Sour Cream, Lettuce]]",$8.99 ,8.99,moderate
14,1,Canned Soda,[Dr. Pepper],$1.09 ,1.09,cheap
15,1,Chicken Burrito,"[Tomatillo-Green Chili Salsa (Medium), [Pinto Beans, Rice, Cheese, Sour Cream]]",$8.49 ,8.49,moderate
15,1,Chips and Tomatillo-Green Chili Salsa,Pending,$2.39 ,2.39,cheap
16,1,Steak Burrito,"[[Roasted Chili Corn Salsa (Medium), Fresh Tomato Salsa (Mild)], [Rice, Black Beans, Sour Cream]]",$8.99 ,8.99,moderate
16,1,Side of Chips,Pending,$1.69 ,1.69,cheap
17,1,Carnitas Bowl,"[Tomatillo-Red Chili Salsa (Hot), [Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce]]",$8.99 ,8.99,moderate
17,1,Bottled Water,Pending,$1.09 ,1.09,cheap
18,1,Chicken Soft Tacos,"[Roasted Chili Corn Salsa, Rice]",$8.75 ,8.75,moderate
18,1,Chicken Soft Tacos,"[Roasted Chili Corn Salsa, [Cheese, Lettuce]]",$8.75 ,8.75,moderate
18,1,Chips and Guacamole,Pending,$4.45 ,4.45,cheap
18,1,Chips and Tomatillo Green Chili Salsa,Pending,$2.95 ,2.95,cheap
19,1,Barbacoa Bowl,"[Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]",$11.75 ,11.75,pricey
19,1,Chips,Pending,$2.15 ,2.15,cheap
20,1,Chips and Guacamole,Pending,$4.45 ,4.45,cheap
20,1,Chicken Bowl,"[Roasted Chili Corn Salsa, [Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]",$11.25 ,11.25,pricey
20,1,Steak Burrito,"[Fresh Tomato Salsa, [Rice, Pinto Beans, Cheese, Sour Cream, Guacamole, Lettuce]]",$11.75 ,11.75,pricey
20,1,Chicken Salad Bowl,"[Fresh Tomato Salsa, [Fajita Vegetables, Pinto Beans, Lettuce]]",$8.75 ,8.75,moderate
21,1,Chicken Burrito,"[Tomatillo-Red Chili Salsa (Hot), [Black Beans, Fajita Veggies, Cheese, Sour Cream, Guacamole, Lettuce]]",$10.98 ,10.98,pricey
21,1,Steak Burrito,"[Tomatillo-Red Chili Salsa (Hot), [Rice, Fajita Veggies, Cheese]]",$8.99 ,8.99,moderate
